"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"29",28,0,0,0,0,0.396,0.02,0,0,0
"30",29,0,0.26,0.096,0.74,0.156,0.352,0.132,0.004,0.008
"31",30,1,1,0,0.7,0.392,1,0.156,0.888,0.972
"32",31,0,0.008,0,0,0,0,0,0,0
"33",32,0.676,0.492,0.508,0.86,0.616,0.128,0.184,0.88,0.624
"34",33,0.184,0,0,0.4,0,0.004,0,0,0.224
"35",34,0,0,0,0.08,0,0,0.56,0.048,0.132
"36",35,1,0.44,0.988,0.832,0.792,0.544,0.76,0.984,0.296
"37",36,0,0,0,0.06,0,0.176,0,0,0.892
"38",37,0,0.016,0.888,0.136,0.744,0,0,0.736,0
"39",38,0,0.052,0,0,0.992,0.004,0.028,0.02,0.036
"40",39,0.5,0.364,0.488,0.304,0.12,0.188,0.444,0.284,0.332
"41",40,0.224,0.344,0.288,0.056,0.176,0.768,0.008,0,0.028
"42",41,1,1,0.824,0.048,1,0.964,0.584,0.376,0.344
"43",42,0.26,0.028,0.404,0.004,0.624,0,0.36,0,0
"44",43,0.472,0.596,0.136,0.04,0.004,0.076,0.016,0.06,0.004
"45",44,0.18,0,0.576,0,0,0,0,0.004,0
"46",45,0.092,0.008,0.016,0.992,0.524,0.82,0.02,0.884,0.064
"47",46,0.96,0,0.216,0.852,0.936,0,0.928,0.344,0.964
"48",47,0,0,0,0.112,0,0,0,0.824,0
"49",48,0.428,0.1,0.172,0.22,0.34,0,0.248,0.616,0.532
"50",49,0.52,0.464,0.556,0.668,0.696,0.508,0.548,0.572,0.712
"51",50,0.024,0,0.224,0,0,0.164,0.148,0.2,0.024
"52",51,0.376,0.04,0.12,0,0.012,0.852,0.004,0,0.952
"53",52,0.024,0,0.728,0,0,0,0,0,0
"54",53,0.48,1,0.996,0.392,0.848,0.956,0.972,0.108,1
"55",54,0.652,0.028,0,0.24,0.124,0.456,0.172,0.16,0.332
"56",55,0.176,0.88,0.24,0,1,0.812,0.444,0.4,0.924
"57",56,0.148,0.032,0.024,0.46,0.076,0.108,0,0,0.024
"58",57,0,0.036,0.016,0.012,0.004,0.832,0.52,0,0
"59",58,0,0,0.256,0.004,0.216,1,0,0,0.052
"60",59,0.616,0.896,0.24,0.016,0,0.636,0.544,0.204,0.332
"61",60,0.24,0.172,0.648,0.76,0,0,0,0.36,0.348
"62",61,1,0.98,0.868,0.944,1,0.952,0.456,0.932,1
"63",62,1,1,0.952,0.06,1,1,1,1,0.848
"64",63,0.248,0.484,0.756,0.484,0.596,0.268,0.784,0.424,0.5
"65",64,0.536,0.24,0.684,0.648,0.004,0.384,0.668,0.068,0
"66",65,0.008,0,0,0.08,0,0.308,0.236,0,0
"67",66,0.124,0.18,0,0.008,0.052,0.008,0.016,0,0.064
"68",67,0.54,0.568,0,0.084,0.204,0.176,0.192,0.048,0.004
"69",68,0.984,0.96,0.032,1,0.616,1,0.936,0.028,1
"70",69,0.284,0.748,0.992,0.996,0.588,0.688,1,1,0.932
"71",70,0,0.032,0.948,1,0.008,0.468,1,0.84,1
"72",71,0.736,1,1,0.964,0.164,0.712,1,1,0.88
"73",72,0.468,0.012,0.244,0.032,0.592,0.452,0.064,0.008,0.348
"74",73,0.616,0,0,0.008,0,0,0,0.148,0.224
"75",74,0.128,0,0.488,0.088,0.088,0.04,0.064,0.036,0.488
"76",75,0.536,0.084,0,0,0.004,0.228,0.28,0.04,0.052
"77",76,0.032,0.016,0.44,0,0,0.016,0.012,0,0.14
"78",77,0.192,0.108,0.124,0.092,0.056,0.3,0.068,0.02,0.604
"79",78,0,0,0,0.004,0.648,0.104,0,0,0.152
"80",79,0,0,0.404,0,0.512,0.424,0.1,0,0
"81",80,0.476,0,0.124,0.004,0.196,0.012,0.004,0,0
"82",81,0.732,0,0,0.008,0.332,0.008,0,0,0
"83",82,0.108,0.028,0.028,0.7,0.384,0.08,0.612,0.204,0.064
"84",83,0.024,0.048,0.116,0,0.416,0,0.008,0.048,0.004
"85",84,0.952,0.588,0.708,0.94,0.892,0.476,0.852,1,0.808
"86",85,0,0.012,0,0.004,0.096,0.016,0,0,0
"87",86,0,0.052,0.392,0.46,0.056,0.168,0,0,0.008
"88",87,0.06,0.02,0.98,0,0.936,0,0.288,0.532,1
"89",88,0.008,0.012,0,0,0,0.276,0.4,0,0
"90",89,0.528,0.112,0.976,0.72,0.52,0.928,0.908,0.996,0.476
"91",90,0.512,1,0.54,1,0.976,1,0.98,0.996,1
"92",91,0.108,0.168,0.552,0.52,0.048,0.008,0.372,0.464,0.784
"93",92,0,0,0.452,0,0.3,0,0,0,0.012
"94",93,0.048,0.324,0.164,0.012,0.236,0.044,0.012,0.3,0.028
"95",94,0.004,0.544,0.568,0.02,0.004,0,0.008,0.72,0.62
"96",95,0.204,0,0.024,0,0.868,0.244,0,0.016,0.552
"97",96,0.052,0.34,0.604,0.428,0.548,0.068,0.008,0.38,0.068
"98",97,0.18,0.368,0.16,0.2,0.144,0.372,0.176,0.448,0.332
"99",98,0.604,0.148,0.74,0,0.116,0.064,0.956,0.056,0
"100",99,1,0.836,0.792,0.492,0.756,0,0.992,0.74,0.292
