"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"33",32,1,0.556,0.484,0.512,0.556,0.528,0.496,0.996,0
"34",33,0,0.532,0.416,0.532,0.312,0.404,0.468,1,0
"35",34,0,0.436,0.532,0.512,0.392,0.544,0.516,0,0
"36",35,1,0.504,0.788,0.512,0.536,0.732,0.544,1,0
"37",36,0,0.492,0.508,0.528,0.392,0.4,0.52,1,0
"38",37,0,0.536,0.5,0.476,0.48,0.396,0.496,1,0
"39",38,0,0.636,0.336,0.288,0.252,0.888,0.128,1,0
"40",39,0,0.48,0.58,0.556,0.524,0.532,0.476,0.06,0
"41",40,0,0.508,0.524,0.544,0.504,0.572,0.572,0,0
"42",41,1,0.456,0.444,0.536,0.64,0.5,0.512,1,0
"43",42,0,0.404,0.3,0.736,0.528,0.54,0.712,0.088,0
"44",43,0,0.46,0.556,0.432,0.48,0.304,0.508,0.484,0
"45",44,0,0.512,0.44,0.488,0.332,0.452,0.544,0.296,0
"46",45,0,0.516,0.66,0.656,0.576,0.496,0.388,1,0
"47",46,0,0.492,0.448,0.532,0.508,0.516,0.48,0.984,0
"48",47,0,0.476,0.58,0.44,0.524,0.376,0.176,1,0
"49",48,0,0.46,0.456,0.524,0.472,0.408,0.5,1,0
"50",49,0.964,0.5,0.496,0.512,0.668,0.608,0.548,0.244,0
"51",50,0,0.56,0.524,0.62,0.54,0.528,0.448,0,0
"52",51,0.988,0.248,0.896,0.964,0.504,0.364,0.596,1,0
"53",52,0,0.468,0.312,0.196,0.328,0.512,0.512,1,0
"54",53,1,0.536,0.772,0.616,0.66,0.592,0.88,0,0
"55",54,0,0.504,0.532,0.524,0.516,0.5,0.528,0.852,0
"56",55,0.948,0.496,0.504,0.416,0.424,0.66,0.504,1,0
"57",56,0.052,0.552,0.6,0.56,0.636,0.504,0.712,0,0
"58",57,0,0.504,0.484,0.656,0.472,0.516,0.572,1,0
"59",58,0,0.264,0.56,0.568,0.388,0.484,0.396,1,0
"60",59,0,0.552,0.448,0.608,0.528,0.572,0.536,1,0
"61",60,1,0.524,0.68,0.664,0.412,0.456,0.456,0,0
"62",61,1,0.652,0.748,0.792,0.708,0.596,0.812,1,0
"63",62,1,0.544,0.808,0.524,0.512,0.612,0.868,1,0
"64",63,0,0.544,0.544,0.532,0.596,0.504,0.496,0.992,0
"65",64,0,0.532,0.516,0.54,0.58,0.42,0.48,0,0
"66",65,0,0.424,0.336,0.54,0.488,0.328,0.296,0.964,0
"67",66,0,0.552,0.368,0.52,0.54,0.516,0.576,0.996,0
"68",67,0,0.528,0.556,0.48,0.436,0.644,0.564,0.7,0
"69",68,1,0.84,0.872,0.588,0.676,0.444,0.624,0,0
"70",69,1,0.52,0.632,0.836,0.6,0.572,0.508,1,0
"71",70,1,0.452,0.692,0.572,0.964,0.892,0.8,1,0
"72",71,1,0.572,0.456,0.832,0.94,0.476,0.86,1,0
"73",72,0,0.448,0.372,0.58,0.472,0.536,0.556,1,0
"74",73,0,0.488,0.324,0.512,0.612,0.628,0.472,0.008,0
"75",74,0,0.408,0.504,0.428,0.504,0.344,0.448,0,0
"76",75,0,0.596,0.492,0.484,0.56,0.508,0.62,0,0
"77",76,0,0.524,0.496,0.492,0.316,0.448,0.448,0.008,0
"78",77,0,0.556,0.452,0.544,0.588,0.504,0.488,0,0
"79",78,0,0.508,0.336,0.104,0.492,0.4,0.268,1,0
"80",79,0,0.492,0.292,0.468,0.48,0.472,0.488,0,0
"81",80,0,0.488,0.396,0.28,0.416,0.532,0.444,0,0
"82",81,0,0.312,0.52,0.488,0.772,0.384,0.424,1,0
"83",82,0,0.504,0.452,0.472,0.524,0.46,0.452,1,0
"84",83,0,0.524,0.464,0.496,0.52,0.652,0.364,0.952,0
"85",84,1,0.508,0.508,0.628,0.464,0.688,0.492,0.016,0
"86",85,0,0.42,0.484,0.432,0.48,0.524,0.488,0,0
"87",86,0,0.532,0.536,0.176,0.516,0.488,0.488,0.516,0
"88",87,0,0.608,0.46,0.704,0.808,0.612,0.856,1,0
"89",88,0,0.596,0.34,0.456,0.448,0.372,0.488,0,0
"90",89,1,0.544,0.608,0.472,0.452,0.768,0.58,1,0
"91",90,1,0.884,0.644,0.828,0.644,0.504,0.64,1,0
"92",91,0,0.536,0.584,0.564,0.54,0.532,0.624,0.796,0
"93",92,0,0.48,0.668,0.548,0.584,0.26,0.58,1,0
"94",93,0,0.484,0.516,0.492,0.528,0.572,0.556,0.872,0
"95",94,1,0.44,0.32,0.508,0.54,0.64,0.46,0,0
"96",95,0,0.44,0.48,0.512,0.452,0.476,0.504,1,0
"97",96,0,0.42,0.56,0.488,0.564,0.468,0.532,1,0
"98",97,0,0.524,0.568,0.568,0.5,0.512,0.52,0.82,0
"99",98,1,0.532,0.38,0.54,0.432,0.496,0.588,0,0
"100",99,1,0.488,0.568,0.5,0.692,0.596,0.464,1,0
